model,class,categories,caption,image_url,question_1,question_2
none_with_emb_without_multires,n01530575,['attribute'],the bird has a black beak,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n01530575_49205.jpg,is there a black beak ?,is there the bird ?
none_with_emb_without_multires,n02089973,['attribute'],a dogs left paw.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/none_with_emb_without_multires_n02089973_38310.jpg,are there a dogs ?,is there paw ?
unet_without_emb_without_multires,n02090721,"['attribute', 'action']",The black dog likes laying on the couch,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02090721_84069.jpg,is there the black dog ?,is there the couch ?
unet_without_emb_without_multires,n01534433,"['attribute', 'action']",A bird has spread out its wings,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01534433_44830.jpg,are there its wings ?,is there a bird ?
unet_without_emb_without_multires,n02090721,['action'],the dog is getting ready for bed,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02090721_53759.jpg,is there the dog ?,is there bed ?
unet_without_emb_without_multires,n03594945,"['attribute', 'relation']",yellow light is on the car,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03594945_58241.jpg,is there yellow light ?,is there the car ?
unet_without_emb_without_multires,n02088364,['attribute'],eye of dog is black ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088364_87969.jpg,is there eye ?,is there dog ?
unet_without_emb_without_multires,n01531178,"['relation', 'action']",A birds claw is grasping a potato.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01531178_36154.jpg,is there a birds ?,is there a potato ?
unet_without_emb_without_multires,n02089973,"['attribute', 'counting']",the dog has two eyes,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02089973_5285.jpg,are there two eyes ?,is there the dog ?
unet_without_emb_without_multires,n01532829,['attribute'],The bird has black feathers,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01532829_14308.jpg,are there black feathers ?,is there the bird ?
unet_without_emb_without_multires,n02088364,"['relation', 'action']",A dog and a cat walk together.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088364_95889.jpg,is there a cat ?,is there a dog ?
unet_without_emb_without_multires,n01530575,['attribute'],bird has green head,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01530575_11362.jpg,is there green head ?,is there bird ?
unet_without_emb_without_multires,n01537544,['attribute'],the bird has a blue head.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01537544_37741.jpg,is there a blue head ?,is there the bird ?
unet_without_emb_without_multires,n02088632,['attribute'],the dog has a tongue,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088632_7803.jpg,is there the dog ?,is there a tongue ?
unet_without_emb_without_multires,n02123045,['relation'],the cat is beside the person,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02123045_76592.jpg,is there the person ?,is there the cat ?
unet_without_emb_without_multires,n01601694,"['relation', 'action']",bird stands on banana,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01601694_90625.jpg,is there banana ?,is there bird ?
unet_without_emb_without_multires,n03796401,['attribute'],Red stripe painted on the truck,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03796401_50745.jpg,is there red stripe ?,is there the truck ?
unet_without_emb_without_multires,n02090379,['attribute'],paws of dog are black,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02090379_6352.jpg,are there paws ?,is there dog ?
unet_without_emb_without_multires,n02088466,['attribute'],the dog has a white belly,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088466_47785.jpg,is there the dog ?,is there a white belly ?
unet_without_emb_without_multires,n03345487,"['attribute', 'relation']",The door handle on the truck,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03345487_97732.jpg,is there the door ?,is there the truck ?
unet_without_emb_without_multires,n02088632,['relation'],the collar is around the dog's neck,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088632_86152.jpg,is there the dog's neck ?,is there the collar ?
unet_without_emb_without_multires,n03796401,['attribute'],the truck has wheels,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03796401_21493.jpg,are there wheels ?,is there the truck ?
unet_without_emb_without_multires,n02090721,['relation'],The dog is in somebody's house,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02090721_88672.jpg,is there somebody's house ?,is there the dog ?
unet_without_emb_without_multires,n02088238,['attribute'],the dogs left eye ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088238_1318.jpg,is there eye ?,are there the dogs ?
unet_without_emb_without_multires,n01582220,['attribute'],the bird has a small beady eye,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01582220_44298.jpg,is there the bird ?,is there a small beady eye ?
unet_without_emb_without_multires,n04612504,"['relation', 'action']",The man is driving the boat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n04612504_86611.jpg,is there the man ?,is there the boat ?
unet_without_emb_without_multires,n02090721,['action'],The dog is splashing water,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02090721_76578.jpg,is there the dog ?,is the dog  splashing water?
unet_without_emb_without_multires,n03345487,['relation'],the wheels are on truck,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03345487_97276.jpg,are there the wheels ?,is there truck ?
unet_without_emb_without_multires,n02089078,"['attribute', 'relation']",dog has a red collar on,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02089078_20985.jpg,is there a red collar ?,is there dog ?
unet_without_emb_without_multires,n04612504,"['relation', 'action']",the boat is floating on the water ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n04612504_69506.jpg,is there the boat ?,is there the water ?
unet_without_emb_without_multires,n02088632,['attribute'],the dog has red eyes,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088632_75710.jpg,is there the dog ?,are there red eyes ?
unet_without_emb_without_multires,n03447447,['relation'],asian boy standing in boat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03447447_85298.jpg,is there asian boy ?,is there boat ?
unet_without_emb_without_multires,n02930766,['attribute'],Light on the car is on. ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02930766_65786.jpg,is there the car ?,is there light ?
unet_without_emb_without_multires,n02088364,['relation'],bike is behind the dog,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088364_16153.jpg,is there bike ?,is there the dog ?
unet_without_emb_without_multires,n01534433,"['relation', 'action']",the bird is standing in grass,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01534433_97979.jpg,is there the bird ?,is the bird  standing in grass?
unet_without_emb_without_multires,n02123159,"['relation', 'action']",The cat is sitting next to a bicycle tire.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02123159_10961.jpg,is there a bicycle tire ?,is there the cat ?
unet_without_emb_without_multires,n02123045,['attribute'],whiskers are on the cat ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02123045_27149.jpg,are there whiskers ?,is there the cat ?
unet_without_emb_without_multires,n02480855,"['attribute', 'action']",monkey feeding herself a piece if banana,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02480855_5253.jpg,is there monkey ?,is there a piece ?
unet_without_emb_without_multires,n02089867,['relation'],a cat is on the dog's back,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02089867_56362.jpg,is there a cat ?,is there the dog ?
unet_without_emb_without_multires,n02088632,['attribute'],the black dogs left ear,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088632_50758.jpg,is there ear ?,are there the black dogs ?
unet_without_emb_without_multires,n04273569,['relation'],gas can inside orange and white boat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n04273569_64610.jpg,is there gas ?,is there orange and white boat ?
unet_without_emb_without_multires,n02090622,['action'],the dog has its mouth open,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02090622_85995.jpg,is there the dog ?,is there its mouth ?
unet_without_emb_without_multires,n02090622,['attribute'],dog has blonde hair,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02090622_92958.jpg,is there dog ?,is there blonde hair ?
unet_without_emb_without_multires,n02123159,"['attribute', 'action']",the cat is wearing a neck tie,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02123159_72052.jpg,is the cat  wearing a neck tie?,is there a neck tie ?
unet_without_emb_without_multires,n02089078,['attribute'],the mouth of dog is open,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02089078_80523.jpg,is there the mouth ?,is there dog ?
unet_without_emb_without_multires,n03796401,['attribute'],The truck's front has red stripes.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03796401_91032.jpg,is there the truck's front ?,are there red stripes ?
unet_without_emb_without_multires,n02123159,['relation'],the cat is in a car,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02123159_48307.jpg,is there the cat ?,is there a car ?
unet_without_emb_without_multires,n02814533,['attribute'],The car has a red door.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02814533_5100.jpg,is there a red door ?,is there the car ?
unet_without_emb_without_multires,n02814533,['relation'],A car is in the window's reflection,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02814533_56620.jpg,is there a car ?,is there the window's reflection ?
unet_without_emb_without_multires,n02090721,"['attribute', 'relation']",The dog is lying on two blue and white pillows.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02090721_64763.jpg,are there two blue and white pillows ?,is there the dog ?
unet_without_emb_without_multires,n02089973,"['relation', 'action']",Woman is holding the dog,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02089973_26652.jpg,is there woman ?,is there the dog ?
unet_without_emb_without_multires,n03344393,"['relation', 'action']",man driving the boat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03344393_16336.jpg,is there man ?,is there the boat ?
unet_without_emb_without_multires,n03485407,['relation'],objects piled up behind the computer,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03485407_94811.jpg,is there the computer ?,are there objects ?
unet_without_emb_without_multires,n04273569,"['attribute', 'counting']",Many of the boats have masts.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n04273569_31967.jpg,are there the boats ?,are there masts ?
unet_without_emb_without_multires,n01582220,"['relation', 'action']",bird angled sideways with feet tightly gripping,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01582220_87113.jpg,are there feet ?,is there bird ?
unet_without_emb_without_multires,n02814533,['relation'],Surfboard attached to car rack,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02814533_63955.jpg,is there surfboard ?,is there car rack ?
unet_without_emb_without_multires,n02088466,['attribute'],ear of dog is black ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088466_91676.jpg,is there ear ?,is there dog ?
unet_without_emb_without_multires,n01580077,['relation'],part of branch birds are sitting on,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01580077_65014.jpg,are there branch birds ?,is there part ?
unet_without_emb_without_multires,n03447447,"['attribute', 'relation']",small red boat docked in water ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03447447_40768.jpg,is there small red boat ?,is there water ?
unet_without_emb_without_multires,n01531178,['attribute'],blue with black accent feathers on birds head,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01531178_99492.jpg,are there black accent feathers ?,are there birds ?
unet_without_emb_without_multires,n03447447,"['attribute', 'relation']",Red life preserver on a boat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03447447_97470.jpg,is there red life preserver ?,is there a boat ?
unet_without_emb_without_multires,n02089078,['relation'],dog is on the street,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02089078_34809.jpg,is there dog ?,is there the street ?
unet_without_emb_without_multires,n02088466,['attribute'],the dogs eyes are black,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088466_98314.jpg,are there eyes ?,are there the dogs ?
unet_without_emb_without_multires,n02088094,"['relation', 'action']",the dog is laying on the bed,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088094_12481.jpg,is there the bed ?,is the dog  laying on the bed?
unet_without_emb_without_multires,n02088364,['attribute'],The dog has black fur,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088364_2086.jpg,is there the dog ?,is there black fur ?
unet_without_emb_without_multires,n02090622,['action'],A dog is sticking its tongue out,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02090622_56650.jpg,is a dog  sticking its tongue out?,is there its tongue ?
unet_without_emb_without_multires,n02088466,['attribute'],black whiskers are on the dog,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088466_63663.jpg,is there the dog ?,are there black whiskers ?
unet_without_emb_without_multires,n01580077,['attribute'],bird has tan beak,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01580077_26112.jpg,is there bird ?,is there tan beak ?
unet_without_emb_without_multires,n02089078,['relation'],the frisbee is in the dog's mouth,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02089078_16588.jpg,is there the frisbee ?,is there the dog's mouth ?
unet_without_emb_without_multires,n02089867,['attribute'],the dog has light brown eyes,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02089867_36913.jpg,is there the dog ?,are there light brown eyes ?
unet_without_emb_without_multires,n03930630,['relation'],a black shirt draped over a truck,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03930630_22166.jpg,is there a black shirt ?,is there a truck ?
unet_without_emb_without_multires,n02123159,['relation'],Book standing up next to a cat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02123159_28925.jpg,is there book ?,is there a cat ?
unet_without_emb_without_multires,n02088238,['attribute'],the dogs eyes are closed,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088238_20648.jpg,are there the dogs ?,are there eyes ?
unet_without_emb_without_multires,n02089078,"['relation', 'action']",the dog is kissing the cat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02089078_76681.jpg,is the dog  ksing the cat?,is there the cat ?
unet_without_emb_without_multires,n02123159,['relation'],the cat is on the sofa ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02123159_42336.jpg,is there the sofa ?,is there the cat ?
unet_without_emb_without_multires,n02088364,['attribute'],neck of dog is white,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088364_34407.jpg,is there dog ?,is there neck ?
unet_without_emb_without_multires,n02088238,['attribute'],the nose of the dog is black,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088238_38768.jpg,is there the nose ?,is there the dog ?
unet_without_emb_without_multires,n02088364,"['attribute', 'relation']",a dog tag shaped like a bone ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088364_36116.jpg,is there a bone ?,is there a dog tag ?
unet_without_emb_without_multires,n01560419,"['relation', 'counting', 'action']",The birds are out in the forest,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01560419_38002.jpg,are the birds  out in the forest?,is there the forest ?
unet_without_emb_without_multires,n02930766,"['attribute', 'relation']",A white car is behind the truck,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02930766_31085.jpg,is there the truck ?,is there a white car ?
unet_without_emb_without_multires,n02088466,"['relation', 'action']",the dog is looking at the cake,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088466_48991.jpg,is there the dog ?,is there the cake ?
unet_without_emb_without_multires,n03345487,['relation'],Trees are behind the truck.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03345487_12751.jpg,are there trees ?,is there the truck ?
unet_without_emb_without_multires,n02088632,['action'],dog jumping for frisbee,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088632_25931.jpg,is there dog ?,is there frisbee ?
unet_without_emb_without_multires,n02090721,['attribute'],the dog's left back leg.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02090721_65963.jpg,is there leg ?,is there the dog ?
unet_without_emb_without_multires,n02930766,"['relation', 'action']",The giraffes are walking around the cars,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02930766_87447.jpg,are there the giraffes ?,are the giraffes  walking around the cars?
unet_without_emb_without_multires,n02088632,['attribute'],paws of dog are black,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088632_68427.jpg,is there dog ?,are there paws ?
unet_without_emb_without_multires,n01537544,['relation'],tree leaves behind the bird,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01537544_7727.jpg,is there the bird ?,is there tree ?
unet_without_emb_without_multires,n02708093,['relation'],Buildings are visible through the clock.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02708093_91998.jpg,are there buildings ?,is there the clock ?
unet_without_emb_without_multires,n02088364,['action'],The dog has it's tongue out.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088364_40182.jpg,is there tongue ?,is there the dog ?
unet_without_emb_without_multires,n02089973,"['counting', 'action']",dog has drunk half the water bottle,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02089973_91326.jpg,is there half the water bottle ?,is there dog ?
unet_without_emb_without_multires,n02090721,['action'],the dog has its mouth open,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02090721_15894.jpg,is there the dog ?,is there its mouth ?
unet_without_emb_without_multires,n04461696,['attribute'],front of truck is red,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n04461696_83899.jpg,is there front ?,is there truck ?
unet_without_emb_without_multires,n03658185,"['relation', 'action']",A hand is holding a large knife.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03658185_73465.jpg,is there a large knife ?,is there a hand ?
unet_without_emb_without_multires,n02089078,['attribute'],A brown dogs left side front paw. ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02089078_70338.jpg,is there side front paw ?,are there a brown dogs ?
unet_without_emb_without_multires,n02088364,['attribute'],dog has brown ear,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088364_11945.jpg,is there brown ear ?,is there dog ?
unet_without_emb_without_multires,n02089867,['attribute'],neck of dog is white,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02089867_43521.jpg,is there neck ?,is there dog ?
unet_without_emb_without_multires,n02088632,['attribute'],the dog has a green collar,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088632_43690.jpg,is there the dog ?,is there a green collar ?
unet_without_emb_without_multires,n03930630,['attribute'],tail gate is down on truck,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03930630_74366.jpg,is there tail gate ?,is there truck ?
unet_without_emb_without_multires,n03344393,"['relation', 'action']",the man is on a boat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03344393_9301.jpg,is there a boat ?,is the man  on a boat?
unet_without_emb_without_multires,n02090721,"['relation', 'action']",Dog ready to bite another dog,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02090721_54633.jpg,is there dog ?,is there another dog ?
unet_without_emb_without_multires,n03977966,['attribute'],emblem on truck says scania,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03977966_9301.jpg,is there emblem ?,is there truck ?
unet_without_emb_without_multires,n03662601,['attribute'],the boat has silver handles,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03662601_34111.jpg,is there the boat ?,are there silver handles ?
unet_without_emb_without_multires,n02123159,"['attribute', 'relation']",There is a nose that is on this cat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02123159_67114.jpg,is there a nose ?,is there this cat ?
unet_without_emb_without_multires,n02088238,"['relation', 'action']",the dog is looking outside the window,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088238_86872.jpg,is there the window ?,is the dog  looking outside the window?
unet_without_emb_without_multires,n04612504,['relation'],The boat sits in the rocks. ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n04612504_19756.jpg,is there the boat ?,are there the rocks ?
unet_without_emb_without_multires,n02089867,['relation'],The gate is behind the dog,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02089867_80199.jpg,is there the dog ?,is there the gate ?
unet_without_emb_without_multires,n01582220,['attribute'],This bird has black eyes.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01582220_41919.jpg,are there black eyes ?,is there this bird ?
unet_without_emb_without_multires,n01601694,"['relation', 'action']",a baby bird stands on the ground,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01601694_61014.jpg,is there the ground ?,is there a baby bird ?
unet_without_emb_without_multires,n01558993,['attribute'],the bird has a small beady eye,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01558993_87064.jpg,is there a small beady eye ?,is there the bird ?
unet_without_emb_without_multires,n01531178,['attribute'],The bird has a long beak.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01531178_98766.jpg,is there a long beak ?,is there the bird ?
unet_without_emb_without_multires,n02090721,['attribute'],the dog has a spotted nose,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02090721_20559.jpg,is there a spotted nose ?,is there the dog ?
unet_without_emb_without_multires,n02123045,['relation'],brown desk cat is on top of,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02123045_35184.jpg,is there top ?,is there brown desk cat ?
unet_without_emb_without_multires,n06359193,['relation'],The dog is next to a laptop computer,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n06359193_13047.jpg,is there the dog ?,is there a laptop computer ?
unet_without_emb_without_multires,n02088632,['attribute'],A dogs left black eye. ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088632_79644.jpg,are there a dogs ?,is there black eye ?
unet_without_emb_without_multires,n02123045,['attribute'],cat has a pink tounge,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02123045_95477.jpg,is there cat ?,is there a pink tounge ?
unet_without_emb_without_multires,n02123159,['attribute'],cat has brown tail,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02123159_27988.jpg,is there brown tail ?,is there cat ?
unet_without_emb_without_multires,n01601694,"['attribute', 'relation']",wood platform for bird to stand on,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01601694_98561.jpg,is there wood platform ?,is there bird ?
unet_without_emb_without_multires,n02123045,"['relation', 'action']",A cat is sitting on a bag.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02123045_20705.jpg,is there a cat ?,is there a bag ?
unet_without_emb_without_multires,n04612504,['relation'],the boat is at a port,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n04612504_95502.jpg,is there the boat ?,is there a port ?
unet_without_emb_without_multires,n02088466,"['relation', 'action']",the dog is lying on the bed,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088466_42683.jpg,is there the bed ?,is the dog  lying on the bed?
unet_without_emb_without_multires,n03670208,['relation'],the person is inside the car ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03670208_52875.jpg,is there the car ?,is there the person ?
unet_without_emb_without_multires,n02123159,"['relation', 'action']",the hand is petting the cat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02123159_3989.jpg,is there the cat ?,is there the hand ?
unet_without_emb_without_multires,n03196217,['attribute'],The clock has roman numerals,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03196217_72333.jpg,is there the clock ?,are there roman numerals ?
unet_without_emb_without_multires,n01592084,['attribute'],a bird has a claw,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n01592084_83684.jpg,is there a claw ?,is there a bird ?
unet_without_emb_without_multires,n02090622,"['relation', 'action']",The dog is laying on a pillow.,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02090622_34250.jpg,is the dog  laying on a pillow.?,is there the dog ?
unet_without_emb_without_multires,n03670208,"['relation', 'counting']",Two surfboards attach to classic car roof,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03670208_18264.jpg,is there classic car roof ?,are there two surfboards ?
unet_without_emb_without_multires,n03930630,"['relation', 'action']",a wheel turned under the truck,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03930630_74036.jpg,is there a wheel ?,is there the truck ?
unet_without_emb_without_multires,n02088238,"['attribute', 'action']",the dog is wearing a blue collar,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088238_87266.jpg,is there the dog ?,is there a blue collar ?
unet_without_emb_without_multires,n04612504,['relation'],life preserver attached to boat,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n04612504_62568.jpg,is there boat ?,is there life preserver ?
unet_without_emb_without_multires,n04612504,"['attribute', 'relation']",a wooden boat oar,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n04612504_45630.jpg,is there oar ?,is there a wooden boat ?
unet_without_emb_without_multires,n03417042,['attribute'],the truck has a brand name painted on ,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n03417042_89721.jpg,is there the truck ?,is there a brand name ?
unet_without_emb_without_multires,n02088364,['relation'],dog is in the beach,https://conceptbed.s3.us-east-2.amazonaws.com/composition/unet_without_emb_without_multires_n02088364_6371.jpg,is there the beach ?,is there dog ?
